1/12 7:45:28|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/hello
1/12 7:45:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532928127
1/12 7:45:28|Utils|convertToSecond method called|time = 6418.0
1/12 7:45:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532928127
1/12 7:45:28|Utils|convertToSecond method called|time = 6418.0
1/12 7:45:28|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/
1/12 7:45:28|ProgressBar|setVisible|Method Called. bool = false
1/12 7:45:28|ChromeBrowserNavigationListener|onFinishLoadingFrame|Method Called for URL=http://172.24.1.4:1323/hello
1/12 7:45:28|Utils|getURLTracker|urlString = http://172.24.1.4:1323/hello, requestOrResponce = snapShot
1/12 7:45:28|ChromeCClickListener|addAllHTMLElementsListeners|Method Called.
1/12 7:45:29|ChromeCClickListener|handleEvent|Method Called.
1/12 7:45:29|ChromeCClickListener|dumpEvent|Method Called. Event Type: value: "click"

 Tag Name = A
